IncidentID,IncidentYear,IncidentDate,Date,Address,City,State,NeighborhoodCouncil,ZipCode,CallReceived,CallDispatched,FirstUnitTurnout,FirstUnitOnscene,IncidentClosed,FireType,PropertyUseSpecific,PropertyUseGeneral,Fire_AreaOfOrigin,Fire_HeatSource,Fire_FirstItemIgnited,Fire_SpecificCause,Fire_GeneralCause,EstimatedPropertyValue,EstimatedPropertyLoss,EstimatedContentLoss,EstimatedTotalFireLoss,Structure_FireFloorOfOrigin,Structure_FloorOfOriginDescription,Structure_BuildingStatus,Structure_BurnDamage,Structure_SmokeDamage,Structure_AlarmInvolved,Structure_AlarmType,Structure_AlarmEffectiveness,Structure_NumberOfStories,Structure_NumberOfBasementLevels,Structure_ConstructionType,Structure_TotalSqFootage,Structure_NumberOfOccupants,Structure_NumberOfBusinesses,Structure_TotalSQFootBurned,Structure_TotalSQFootSmokeDamage,Mobile_VehicleMake,Mobile_VehicleModel,Mobile_VehicleYear,Fire_OutsideAreaAffected,Latitude,Longitude
776747,2013,2013-06-13T12:00:00Z,2013-06-13,1314 MARKET ST,Tacoma,WA,New Tacoma,98402,8:42:39,8:43:19,8:43:55,8:46:28,9:08:06,Structure Fire,Multi-family (three or more units),Residential,Kitchen or Cooking area,Cooking Stove,Cooking Oil / Food in Pan,Adult (18-64),Negligence(lack of proper caution or attention),12705000,0,0,0,6,Normal Floor,Occupied and Operating,Confined to OBJECT of origin,Confined to OBJECT of origin,No,Monitored System,System Operated and was Effective,7,0,Fire Restrictive (Type I),105000,200,1,0,1,,,,Not Applicable,47.249968,-122.440837
649766,2011,2011-08-10T12:00:00Z,2011-08-10,29 ST HELENS AV,Tacoma,WA,New Tacoma,98402,17:57:40,17:57:43,17:59:16,18:01:51,18:39:31,Structure Fire,Multi-family (three or more units),Residential,Kitchen or Cooking area,Cooking Stove,Cooking Oil / Food in Pan,Adult (18-64),Negligence(lack of proper caution or attention),15960000,0,0,0,7,Normal Floor,Occupied and Operating,Confined to OBJECT of origin,Confined to OBJECT of origin,No,Monitored System,System Operated and was Effective,7,1,Non-Combustible (Type II),140000,200,0,1,1,,,,Not Applicable,47.26382,-122.446833
848612,2014,2014-06-11T12:00:00Z,2014-06-11,E GRANDVIEW AV/E WRIGHT AV,Tacoma,WA,East Side,,10:32:25,10:34:20,10:35:24,10:40:55,10:50:43,Other Outside Fire,Not Available,Not Available,Not Available,Candle,Not Available,Training Burn,Miscellaneous,0,0,0,0,,,,,,,,,,,,,,,,,,,,None - 0,47.23503,-122.3972
772604,2013,2013-05-22T12:00:00Z,2013-05-22,616 N 3RD ST,Tacoma,WA,New Tacoma,98403,2:28:14,2:29:45,2:30:43,2:34:54,2:56:58,Other Outside Fire,Not Available,Not Available,Not Available,Electrical Arcing,Not Available,Equipment Failure (Electrical),Mechanical Failure or Malfunction,0,0,0,0,,,,,,,,,,,,,,,,,,,,Other - 1,47.265231,-122.451371
694779,2012,2012-04-04T12:00:00Z,2012-04-04,5217 S 11TH ST,Tacoma,WA,Central,98465,17:12:30,17:13:32,17:13:44,17:17:42,18:20:35,Other Outside Fire,Not Available,Not Available,Not Available,Undetermined,Not Available,Unknown,Miscellaneous,0,0,0,0,,,,,,,,,,,,,,,,,,,,Square Feet - 4,47.251386,-122.507091
735645,2012,2012-11-05T12:00:00Z,2012-11-05,2112 N MILDRED ST,Tacoma,WA,West End,98406,10:32:31,10:33:23,10:37:35,10:38:49,11:06:34,Structure Fire,One or Two Family,Residential,Kitchen or Cooking area,Electrical Arcing,"General Materials (ie;Wire,Transformer)",Improperly Built or Installed Equipment,"Design, Construction, Installation Deficiency",167400,0,0,0,1,Normal Floor,Occupied and Operating,Confined to OBJECT of origin,Confined to FLOOR of origin,No,Monitored System,System Operated and was Effective,1,0,Wood Frame (Type V),1800,1,0,0,1000,,,,Not Applicable,47.267819,-122.5266
687235,2012,2012-02-24T12:00:00Z,2012-02-24,7626 S C ST,Tacoma,WA,South End,98408,18:10:21,18:10:57,18:12:13,18:14:36,18:20:10,Grass/Brush/Trees Fire,Not Available,Not Available,Not Available,Incendiary Device,Not Available,Adult (18-64),Incendiary (Set Fire & Illegal Burn),0,0,0,0,,,,,,,,,,,,,,,,,,,,Square Feet - 3,47.187433,-122.4354
728371,2012,2012-09-27T12:00:00Z,2012-09-27,1401 E 72ND ST,Tacoma,WA,East Side,98404,13:40:23,13:41:03,13:42:03,13:48:25,13:50:39,Grass/Brush/Trees Fire,Not Available,Not Available,Not Available,Cigarette or Smoking Materials,Not Available,Persons Unknown,Negligence(lack of proper caution or attention),0,0,0,0,,,,,,,,,,,,,,,,,,,,Square Feet - 1,47.191743,-122.410072
764566,2013,2013-04-09T12:00:00Z,2013-04-09,5926 S STEVENS ST,Tacoma,WA,South Tacoma,98409,23:04:41,23:05:32,23:06:19,23:14:03,23:14:19,Other Outside Fire,Not Available,Not Available,Not Available,Lighter,Not Available,Adult (18-64),Incendiary (Set Fire & Illegal Burn),0,0,0,0,,,,,,,,,,,,,,,,,,,,Square Feet - 0,47.202928,-122.4957
642488,2011,2011-07-04T12:00:00Z,2011-07-04,S 78TH ST/YAKIMA AV,Tacoma,WA,South End,98408,23:31:25,23:32:09,23:32:25,23:34:32,23:39:21,Grass/Brush/Trees Fire,Not Available,Not Available,Not Available,Suspected Fireworks,Not Available,Persons Unknown,Negligence(lack of proper caution or attention),0,0,100,100,,,,,,,,,,,,,,,,,,,,Square Feet - 10,47.18647,-122.4433
780660,2013,2013-07-02T12:00:00Z,2013-07-02,S 84TH ST/PACIFIC AV,Tacoma,WA,South End,98408,22:00:05,22:01:23,22:02:02,22:05:27,22:12:56,Other Outside Fire,Not Available,Not Available,Not Available,Undetermined,Not Available,Unknown,Miscellaneous,0,0,0,0,,,,,,,,,,,,,,,,,,,,Square Feet - 1,47.18097,-122.4341
848149,2014,2014-06-08T12:00:00Z,2014-06-08,518 S 7TH ST,Tacoma,WA,New Tacoma,,22:06:59,22:08:05,22:09:03,22:25:18,22:25:31,Structure Fire,Multi-family (three or more units),Residential,Kitchen or Cooking area,Cooking Stove,Cooking Oil / Food in Pan,Adult (18-64),Negligence(lack of proper caution or attention),6180000,103,0,103,4,Normal Floor,Occupied and Operating,Confined to OBJECT of origin,Confined to OBJECT of origin,Yes,,,6,0,Ordinary (Type III),60000,120,1,1,1,,,,Not Applicable,47.257083,-122.44435
702285,2012,2012-05-14T12:00:00Z,2012-05-14,3720 CENTER ST,Tacoma,WA,South Tacoma,98409,13:42:13,13:43:22,13:43:58,13:48:22,14:22:30,Structure Fire,Office,Business,Exterior of Building/Structure,Cigarette or Smoking Materials,"Organic Materials (ie;Grass,Trees,Animals)",Persons Unknown,Negligence(lack of proper caution or attention),142500,380,0,380,1,Normal Floor,"Idle, not routinely used (Building not empty)",Confined to OBJECT of origin,Confined to OBJECT of origin,Yes,,,1,0,Wood Frame (Type V),1500,0,1,4,0,,,,Not Applicable,47.23124,-122.485142
718023,2012,2012-08-05T12:00:00Z,2012-08-05,1400 E 72ND ST,Tacoma,WA,East Side,98404,18:38:22,18:39:19,18:41:27,18:44:09,18:49:55,Other Outside Fire,Not Available,Not Available,Not Available,Cigarette or Smoking Materials,Not Available,Persons Unknown,Negligence(lack of proper caution or attention),0,0,0,0,,,,,,,,,,,,,,,,,,,,Square Feet - 36,47.191743,-122.410084
749883,2013,2013-01-20T12:00:00Z,2013-01-20,3613 S 7TH ST,Tacoma,WA,Central,98405,15:13:32,15:14:11,15:15:02,15:16:57,15:57:11,Structure Fire,One or Two Family,Residential,Kitchen or Cooking area,Cooking Stove,Cooking Oil / Food in Pan,Adult (18-64),Negligence(lack of proper caution or attention),111600,2325,1000,3325,1,Normal Floor,Occupied and Operating,Confined to ROOM of origin,Confined to FLOOR of origin,No,Unit Detectors Only (Residential Occupancy),"Alerted Occupants, Occupants Responded",1,0,Wood Frame (Type V),1200,3,0,25,250,,,,Not Applicable,47.2544,-122.483798
795470,2013,2013-09-13T12:00:00Z,2013-09-13,1729 E 58TH ST,Tacoma,WA,East Side,98404,10:54:54,10:55:59,10:56:04,11:02:23,11:29:22,Structure Fire,One or Two Family,Residential,Bathroom or Locker Room,Lightning,"Structural Component (Wall,Floor,Rug,Ceiling,Studs)",Equipment Failure (Electrical),Mechanical Failure or Malfunction,167400,279,1000,1279,1,Normal Floor,Occupied and Operating,Confined to ROOM of origin,Confined to ROOM of origin,No,Unit Detectors Only (Residential Occupancy),,2,0,Wood Frame (Type V),1800,2,0,3,0,,,,Not Applicable,47.204372,-122.405567
650197,2011,2011-08-13T12:00:00Z,2011-08-13,2336 JEFFERSON AV,Tacoma,WA,New Tacoma,98402,2:24:11,2:24:21,2:25:14,2:26:18,2:41:38,Structure Fire,Multi-family (three or more units),Residential,Living Room or Rec Room,Candle,Flammable/Combustible Liquid,Flammable or Combustible Liquid/Vapor ignited,"""First Item Ignited"" misused or misplaced",2060000,103,0,103,2,Normal Floor,Occupied and Operating,Confined to OBJECT of origin,Confined to OBJECT of origin,Yes,,,3,0,Ordinary (Type III),20000,24,0,1,0,,,,Not Applicable,47.239984,-122.439101
644942,2011,2011-07-17T12:00:00Z,2011-07-17,DIVISION AV/N TACOMA AV,Tacoma,WA,New Tacoma,98403,4:41:18,4:42:44,4:44:50,4:48:06,4:52:00,Other Outside Fire,Not Available,Not Available,Not Available,Undetermined,Not Available,Persons Unknown,Incendiary (Set Fire & Illegal Burn),0,0,100,100,,,,,,,,,,,,,,,,,,,,Other - 1,47.2641,-122.4471
788310,2013,2013-08-09T12:00:00Z,2013-08-09,5113 PACIFIC HW E,Fife,WA,,98424,16:12:45,16:13:52,16:15:23,16:17:58,16:21:00,Grass/Brush/Trees Fire,Not Available,Not Available,Not Available,Cigarette or Smoking Materials,Not Available,Persons Unknown,Negligence(lack of proper caution or attention),0,0,0,0,,,,,,,,,,,,,,,,,,,,Square Feet - 1,47.243064,-122.360364
651255,2011,2011-08-18T12:00:00Z,2011-08-18,5400 N 39TH ST,Tacoma,WA,West End,98407,20:07:45,20:08:24,20:09:27,20:11:43,20:37:17,Grass/Brush/Trees Fire,Not Available,Not Available,Not Available,Lighter,Not Available,Juvenile (12-17),Incendiary (Set Fire & Illegal Burn),0,0,0,0,,,,,,,,,,,,,,,,,,,,Square Feet - 1,47.28443,-122.5089
728050,2012,2012-09-25T12:00:00Z,2012-09-25,MORRELLS DRY CLEAN,Tacoma,WA,New Tacoma,98403,18:04:02,18:08:09,18:17:11,18:36:27,21:27:10,Mobile Property Fire,Water Vessels,Mobile Property,Structural Area (Includes Deck Surfaces),"Radiated, Conducted Heat from  Equipment","General Materials (ie;Wire,Transformer)",Heat from Properly Operating Equipment,"Design, Construction, Installation Deficiency",15000,0,0,0,,,,,,,,,,,,,,,,,Classic Vehicle,,1935,Not Applicable,47.264467,-122.44858
763438,2013,2013-04-03T12:00:00Z,2013-04-03,701 S 76TH ST,Tacoma,WA,South End,98408,19:36:16,19:37:25,19:38:31,19:40:03,19:43:04,Other Outside Fire,Not Available,Not Available,Not Available,Match,Not Available,Adult (18-64),Incendiary (Set Fire & Illegal Burn),0,0,0,0,,,,,,,,,,,,,,,,,,,,Square Feet - 4,47.18827,-122.44063
770188,2013,2013-05-09T12:00:00Z,2013-05-09,5601 S ORCHARD ST,Tacoma,WA,South Tacoma,98409,16:47:01,16:47:55,16:49:07,16:51:31,16:58:39,Grass/Brush/Trees Fire,Not Available,Not Available,Not Available,Incendiary Device,Not Available,Juvenile (12-17),Incendiary (Set Fire & Illegal Burn),0,0,0,0,,,,,,,,,,,,,,,,,,,,Square Feet - 4,47.206504,-122.5046
628195,2011,2011-04-22T12:00:00Z,2011-04-22,3500 FREEMAN RD E,Fife,WA,,98424,23:07:52,23:09:38,23:11:08,23:11:12,23:29:33,Other Outside Fire,Not Available,Not Available,Not Available,Lighter,Not Available,Adult (18-64),Incendiary (Set Fire & Illegal Burn),0,0,0,0,,,,,,,,,,,,,,,,,,,,Square Feet - 36,47.225519,-122.320549
721438,2012,2012-08-23T12:00:00Z,2012-08-23,1015 A ST,Tacoma,WA,New Tacoma,98402,5:32:47,5:33:13,5:34:35,5:37:00,6:21:20,Structure Fire,Office,Business,Kitchen or Cooking area,Cooking Stove,Cooking Oil / Food in Pan,Equipment Unattended/Overloaded,Operational Deficiency,6750000,135,0,135,10,Normal Floor,Occupied and Operating,Confined to OBJECT of origin,Confined to OBJECT of origin,No,Monitored System,System Operated and was Effective,10,1,Fire Restrictive (Type I),50000,50,1,1,1,,,,Not Applicable,47.254378,-122.43734
834367,2014,2014-03-31T12:00:00Z,2014-03-31,9315 S M ST,Tacoma,WA,South End,98444,20:15:59,20:16:46,20:17:45,20:23:41,20:39:28,Grass/Brush/Trees Fire,Not Available,Not Available,Not Available,Match,Not Available,Adult (18-64),Incendiary (Set Fire & Illegal Burn),0,0,0,0,,,,,,,,,,,,,,,,,,,,Square Feet - 12,47.172294,-122.4511
749806,2013,2013-01-20T12:00:00Z,2013-01-20,3015 N HIGHLAND ST,Tacoma,WA,West End,98407,2:56:51,2:58:27,2:59:49,3:05:03,3:19:37,Structure Fire,Multi-family (three or more units),Residential,Kitchen or Cooking area,Cooking Stove,Cooking Oil / Food in Pan,Adult (18-64),Negligence(lack of proper caution or attention),3090000,0,0,0,2,Normal Floor,Occupied and Operating,Confined to OBJECT of origin,Confined to OBJECT of origin,No,Unit Detectors Only (Residential Occupancy),"Alerted Occupants, Occupants Responded",2,0,Ordinary (Type III),30000,50,0,0,0,,,,Not Applicable,47.274157,-122.5138
780769,2013,2013-07-03T12:00:00Z,2013-07-03,1202 S M ST,Tacoma,WA,Central,98405,11:37:44,11:38:44,11:39:29,11:40:44,11:51:04,Structure Fire,Multi-family (three or more units),Residential,Kitchen or Cooking area,Cooking Stove,Cooking Oil / Food in Pan,Adult (18-64),Negligence(lack of proper caution or attention),3420000,0,0,0,3,Normal Floor,Occupied and Operating,Confined to OBJECT of origin,Confined to OBJECT of origin,Yes,,,6,0,Non-Combustible (Type II),30000,100,0,0,0,,,,Not Applicable,47.250592,-122.454288
674781,2011,2011-12-24T12:00:00Z,2011-12-24,911 S 27TH ST,Tacoma,WA,Central,98409,17:18:19,17:19:15,17:20:08,17:22:09,20:18:20,Structure Fire,One or Two Family,Residential,Bedroom for Less than 5 people,"Radiated, Conducted Heat from  Equipment","General Materials (ie;Wire,Transformer)",Failure of/in Electrical System,Mechanical Failure or Malfunction,90000,20000,5000,25000,2,Normal Floor,Occupied and Operating,Confined to ROOM of origin,Confined to FLOOR of origin,No,Unit Detectors Only (Residential Occupancy),"Alerted Occupants, Occupants Responded",2,1,Wood Frame (Type V),1859,4,0,40,600,,,,Not Applicable,47.235822,-122.445255
783125,2013,2013-07-14T12:00:00Z,2013-07-14,7221 S WAPATO ST,Tacoma,WA,South Tacoma,98409,16:24:42,16:25:59,16:26:57,16:30:46,16:37:11,Grass/Brush/Trees Fire,Not Available,Not Available,Not Available,Undetermined,Not Available,Unknown,Miscellaneous,0,0,0,0,,,,,,,,,,,,,,,,,,,,Square Feet - 4,47.191576,-122.4685
777642,2013,2013-06-18T12:00:00Z,2013-06-18,4217 BROWNS POINT BL,Tacoma,WA,North East,98422,3:08:05,3:08:53,3:10:24,3:16:18,9:56:42,Structure Fire,One or Two Family,Residential,Exterior of Building/Structure,Heat Spread from Another Fire,"Structural Component (Wall,Floor,Rug,Ceiling,Studs)",Exposure Fire,Miscellaneous,251100,93,0,93,0,Normal Floor,Occupied and Operating,Confined to OBJECT of origin,Confined to OBJECT of origin,Yes,,,2,0,Wood Frame (Type V),2700,0,0,1,1,,,,Not Applicable,47.300898,-122.41298
667115,2011,2011-11-10T12:00:00Z,2011-11-10,1115 E 25TH ST,Tacoma,WA,New Tacoma,98421,15:17:07,15:19:19,15:19:27,15:25:04,16:01:27,Structure Fire,Service Shop,Business,Laundry Area,"Heat, Spark from Friction",Dust/Fiber/Lint,Unknown,Miscellaneous,1755000,0,0,0,1,Normal Floor,Occupied and Operating,Confined to OBJECT of origin,Confined to ROOM of origin,Yes,,,2,0,Heavy Timber (Type IV),15000,1,1,40,0,,,,Not Applicable,47.240794,-122.418472
